variant,kind,device,dtype,n_cond,n_target,dim,median_s,min_s,first_call_s,value,rss_mb,rss_delta_mb,dev_mem_mb,status
reference,reference,cpu,float32,1,250,2,0.0007400215000643584,0.0006832920000761078,0.009181166000189478,3.316561222076416,270.96875,17.640625,nan,ok
reference,reference,cpu,float64,1,250,2,0.0012492500000007567,0.0011559590000160824,0.0014909999999872525,3.3165610962421623,287.046875,33.71875,nan,ok
reference,reference,cpu,float32,8,250,2,0.0007756045000633094,0.000724416000139172,0.0008186669999759033,0.4653587341308594,287.046875,33.71875,nan,ok
reference,reference,cpu,float64,8,250,2,0.0012663330001032591,0.0012041669999689475,0.0013218330000199785,0.46535859220780695,289.59375,36.265625,nan,ok
reference,reference,cpu,float32,32,250,2,0.0009216454999432244,0.000860624999859283,0.0010414580001452123,0.1352066993713379,289.59375,36.265625,nan,ok
reference,reference,cpu,float64,32,250,2,0.0014457500000162327,0.001360666999971727,0.001446415999907913,0.13520679618036668,292.65625,39.328125,nan,ok
reference,reference,cpu,float32,1,250,768,0.0012661459999208091,0.001177708000113853,0.0014502090000405587,3.1359684467315674,292.65625,39.328125,nan,ok
reference,reference,cpu,float64,1,250,768,0.0028148125001052904,0.0025822909999533294,0.00281845900008193,3.1359701644748115,302.296875,48.96875,nan,ok
reference,reference,cpu,float32,8,250,768,0.0013533130000951132,0.0012892080001165596,0.001574291999986599,0.4009835720062256,302.296875,48.96875,nan,ok
reference,reference,cpu,float64,8,250,768,0.003003000000035172,0.002822250000008353,0.00291970900002525,0.40098362510055807,303.828125,50.5,nan,ok
reference,reference,cpu,float32,32,250,768,0.0016071874999852298,0.0014718750001065928,0.0018324170000596496,0.10640406608581543,303.828125,50.5,nan,ok
reference,reference,cpu,float64,32,250,768,0.0035499380001056124,0.003349749999870255,0.0033219580000150017,0.10640451238917281,309.9375,56.609375,nan,ok
stacked_mm,reference_like,cpu,float32,1,250,2,0.0007934579998618574,0.0007436670000515733,0.009100999999873238,3.316561222076416,274.59375,20.203125,nan,ok
stacked_mm,reference_like,cpu,float64,1,250,2,0.001290791499968691,0.0011812909999662224,0.0016641250001612207,3.3165610962421623,291.75,37.359375,nan,ok
stacked_mm,reference_like,cpu,float32,8,250,2,0.0008345629998984805,0.0007694999999330321,0.0009456249999857391,0.4653587341308594,291.75,37.359375,nan,ok
stacked_mm,reference_like,cpu,float64,8,250,2,0.0013248335000071165,0.0012675420000505255,0.001306041999896479,0.46535859220780695,294.3125,39.921875,nan,ok
stacked_mm,reference_like,cpu,float32,32,250,2,0.001004020500090519,0.0009337090000371973,0.0011228750001919252,0.1352066993713379,294.34375,39.953125,nan,ok
stacked_mm,reference_like,cpu,float64,32,250,2,0.0015351665000480352,0.001404749999892374,0.0015278749999652064,0.13520679618036668,297.421875,43.03125,nan,ok
stacked_mm,reference_like,cpu,float32,1,250,768,0.0012424789999840868,0.0011651670001810999,0.0014995829999406851,3.1359684467315674,297.421875,43.03125,nan,ok
stacked_mm,reference_like,cpu,float64,1,250,768,0.0024953335000645893,0.002273665999837249,0.0023819169998660072,3.1359701644748115,301.328125,46.9375,nan,ok
stacked_mm,reference_like,cpu,float32,8,250,768,0.0013167079999902853,0.0012445410000054835,0.0014598329998989357,0.4009835720062256,301.328125,46.9375,nan,ok
stacked_mm,reference_like,cpu,float64,8,250,768,0.002898770499996317,0.0026360839999597374,0.002831250000099317,0.40098362510055807,309.171875,54.78125,nan,ok
stacked_mm,reference_like,cpu,float32,32,250,768,0.00152881250005521,0.001478333000022758,0.0016440419999526057,0.10640406608581543,309.171875,54.78125,nan,ok
stacked_mm,reference_like,cpu,float64,32,250,768,0.0032748124999670836,0.003000084000177594,0.0031892499998775747,0.10640451238917281,316.9375,62.546875,nan,ok
stacked_powchain,reference_like,cpu,float32,1,250,2,0.0009014789999355344,0.000845791999836365,0.015030415999945035,3.316561222076416,269.796875,16.265625,nan,ok
stacked_powchain,reference_like,cpu,float64,1,250,2,0.0011022915000467037,0.0010695420000956801,0.0011547079998308618,3.3165610962421606,273.34375,19.8125,nan,ok
stacked_powchain,reference_like,cpu,float32,8,250,2,0.0008463130000109231,0.0008234580000134883,0.000874541000030149,0.4653587341308594,273.34375,19.8125,nan,ok
stacked_powchain,reference_like,cpu,float64,8,250,2,0.0010490624999874854,0.0010129580000466376,0.0011425420000250597,0.46535859220780695,274.984375,21.453125,nan,ok
stacked_powchain,reference_like,cpu,float32,32,250,2,0.0009104579999075213,0.0008802090001154284,0.001021209000100498,0.1352066993713379,275.0,21.46875,nan,ok
stacked_powchain,reference_like,cpu,float64,32,250,2,0.001122582999869337,0.0010659580000265123,0.0012082920000011654,0.13520679618036624,277.484375,23.953125,nan,ok
stacked_powchain,reference_like,cpu,float32,1,250,768,0.0014042079999398993,0.0012856250000368163,0.0013861670001915627,3.1359684467315674,282.078125,28.546875,nan,ok
